TAZID,CO_TAZID,DEVACRES,HH_19,JOB_19,JOBAUTO_19,HHAUTO_19,JOBTRANSIT_19,HHTRANSIT_19,COMPAUTO_19,COMPTRANSIT_19,HH_30,JOB_30,JOBAUTO_30,HHAUTO_30,JOBTRANSIT_30,HHTRANSIT_30,COMPAUTO_30,COMPTRANSIT_30,HH_40,JOB_40,JOBAUTO_40,HHAUTO_40,JOBTRANSIT_40,HHTRANSIT_40,COMPAUTO_40,COMPTRANSIT_40,HH_50,JOB_50,JOBAUTO_50,HHAUTO_50,JOBTRANSIT_50,HHTRANSIT_50,COMPAUTO_50,COMPTRANSIT_50
617,110617,1530.66,0.0,2.5,232430,114747,0,0,114747,0,0.0,2.5,243727,128926,0,0,128926,0,0.0,3.0,246971,135639,0,0,135639,0,0.0,3.3,277214,154522,0,0,154522,0
618,110618,629.64,1362.3,584.2,255937,126700,1718,536,231168,1491,1425.5,858.2,271228,142791,8690,2841,238368,7194,1476.0,1032.2,285432,155412,8719,2852,247161,6992,1508.2,1332.3,330338,180950,8892,2894,278049,6793
619,110619,396.48,302.5,302.5,273988,137014,5398,1484,225221,4005,337.5,773.7,290512,154392,10567,3689,213340,6667,377.7,1005.2,298194,164708,10948,3967,216297,6665,418.7,1695.2,329932,184526,11002,4082,226452,6078
620,110620,170.39,1.0,921.3,269294,133314,3415,1047,133580,1052,0.7,1221.3,285490,150389,11880,4523,150524,4531,0.7,1485.8,274817,149575,11851,4523,149674,4528,0.5,1608.7,318028,174180,12154,4615,174253,4619
621,110621,375.56,831.2,470.5,255734,127567,2488,930,225185,2116,838.3,601.0,282086,149052,4613,1825,243441,3803,848.5,673.2,291608,159770,4621,1867,249258,3737,860.2,729.2,328255,181528,4630,1873,278264,3691
622,110622,213.29,352.8,180.5,268458,136716,27950,7772,239410,23501,390.8,294.0,296413,160497,27424,10750,255569,22413,419.2,340.5,278978,157116,28455,12051,239205,23101,449.2,438.7,306664,175024,29831,13100,257538,23587
623,110623,117.44,294.8,652.8,246396,125652,28203,8044,179937,17107,312.8,736.2,273320,148557,30094,11645,201782,19515,332.5,740.7,285812,161281,31276,13133,214756,20924,350.8,733.2,312014,178765,33357,14740,237358,22926
624,110624,293.92,344.7,332.8,273951,137267,6521,2051,226383,4965,348.3,641.2,274316,146008,6623,2568,208557,4545,355.0,1078.7,286182,157928,6705,2839,203530,4214,367.0,1128.8,313672,175571,7220,3162,223606,4574
625,110625,117.62,287.2,137.3,255514,128069,9292,2974,228871,7971,297.5,143.5,280377,149548,9448,3840,252123,8237,307.0,147.0,292393,161714,9542,4215,263361,8358,317.7,154.7,319911,179665,10394,4764,287809,9105
626,110626,257.35,381.3,3746.0,241793,123143,7039,3868,141591,4361,458.2,3991.3,266384,144587,19065,8978,164974,10667,613.0,3994.5,278147,156682,19437,10098,181538,12009,698.0,3921.2,304788,174195,17964,10130,203710,11900
627,110627,278.78,1065.0,2340.5,243639,124731,12351,4875,178414,8250,1109.8,2387.0,270087,147535,21232,8599,202534,14269,1167.3,2402.8,281685,159901,21583,9653,214567,15008,1235.8,2564.8,307484,177260,20532,9829,234749,14554
628,110628,134.17,536.3,463.3,226304,116259,13238,6432,190734,11038,584.2,517.0,250281,137227,15791,7880,212328,13135,640.0,523.8,261303,148997,15803,8520,224462,13414,673.5,552.8,285574,165329,15821,8787,245473,13475
629,110629,156.62,529.3,153.5,223522,114349,9958,5303,208437,9314,568.5,177.0,246295,134375,12631,6768,229399,11746,597.5,176.5,256546,145475,12750,7383,239907,11946,624.7,174.0,281172,161693,12345,7498,263829,11641
630,110630,310.46,772.8,353.7,204576,105740,9600,5241,184617,8719,862.8,361.7,225735,124468,11003,6160,206174,10068,921.7,363.7,235278,134929,10923,6579,216159,10095,951.2,363.7,259815,150754,10997,6826,239199,10208
631,110631,332.91,637.5,126.3,197412,101859,3538,2032,187979,3389,683.5,147.0,217017,119463,4240,2461,206346,4045,719.3,150.8,225715,129229,4245,2674,214990,4071,752.8,151.8,249033,144345,4161,2716,237573,4003
632,110632,293.88,870.8,1414.0,230599,116601,10281,5794,176671,8158,1007.0,1460.8,254114,136819,15632,8258,200970,12291,1095.2,1438.3,264401,147845,15928,9145,213203,12948,1160.3,1490.3,292771,165622,15252,9305,236934,12640
633,110633,168.61,531.7,152.7,244668,123892,6764,4639,228119,6473,552.7,173.0,269510,145329,8255,5579,250678,7849,562.5,185.7,280700,157199,8135,6010,260382,7786,569.7,199.2,310350,175840,7845,6101,286716,7538
634,110634,127.57,560.7,1267.0,274667,137945,9301,5515,198729,7198,644.7,1274.7,301682,161501,22909,10283,227341,16213,740.7,1286.3,314038,174576,23388,11743,243079,17463,796.0,1289.2,350436,196755,22127,12010,274085,17101
635,110635,210.84,510.7,66.8,262017,132346,8248,5332,253272,8051,547.8,71.7,289727,155694,10457,6614,280405,10190,583.0,74.3,302047,168535,10388,7200,292614,10163,610.3,75.7,334675,188940,10054,7380,324430,9866
636,110636,295.36,971.3,0.0,206061,104962,2421,1963,206061,2421,976.2,0.0,227212,123238,2862,2337,227212,2862,978.2,0.0,236035,133011,2785,2502,236035,2785,979.3,0.0,260789,148582,2568,2495,260789,2568
637,110637,387.02,734.3,143.2,214167,108947,1681,1503,203926,1664,746.2,149.2,235930,127895,2022,1784,224859,1997,759.0,136.0,245409,138201,1963,1904,235057,1958,772.5,135.5,271350,154493,1799,1891,260061,1808
638,110638,285.39,347.3,99.2,164297,86379,3251,2129,153671,3098,384.5,103.2,180106,101174,3701,2481,169616,3539,416.8,98.3,186509,109054,3668,2657,176957,3543,448.0,89.0,205459,121489,3545,2700,196388,3454
639,110639,371.37,436.8,8.2,171227,87436,1124,864,170367,1121,514.2,11.2,183787,100444,1280,990,182763,1276,563.5,12.0,189738,107863,1258,1056,188711,1256,620.5,12.5,212670,121635,1193,1065,211565,1191
640,110640,314.72,0.0,4.0,272376,129999,0,0,129999,0,0.0,4.0,309480,154503,0,0,154503,0,0.0,4.0,321191,164927,0,0,164927,0,0.0,4.0,346427,182110,0,0,182110,0
641,110641,471.57,1659.0,4671.5,279344,135271,3086,1299,191620,1998,1828.3,4687.0,298837,152811,7882,3228,212076,5117,1899.0,4705.7,305922,161469,7973,3282,219762,5175,1932.3,4727.0,360329,192137,7984,3277,259649,5166
642,110642,258.34,56.5,454.0,315786,150793,3817,1293,181108,1756,212.8,862.8,346272,174192,7549,3018,226096,4385,305.5,1152.2,357866,185874,7670,3145,238800,4537,363.3,1227.3,414790,218913,7424,3069,282938,4492
643,110643,413.14,0.0,5587.8,263438,127586,2707,1139,127586,1139,0.0,5818.7,281298,143565,9178,4163,143565,4163,0.0,5963.0,288737,152182,9258,4186,152182,4186,0.0,6104.7,339216,180521,9179,4129,180521,4129
644,110644,496.9,139.0,2555.0,237271,118057,2547,953,128737,1096,139.0,2789.8,257440,136045,4391,1878,145787,2080,139.0,3025.3,267367,146577,4388,1924,155216,2100,139.0,3275.2,309901,170369,4416,1928,179451,2090
645,110645,334.85,0.0,758.7,317708,152861,4646,1587,152861,1587,0.0,780.2,348799,176837,9238,3718,176837,3718,0.0,1031.5,360796,188990,9376,3879,188990,3879,0.0,1334.5,416559,221484,9048,3792,221484,3792
646,110646,640.9,0.0,93.2,321555,152988,0,0,152988,0,0.0,132.2,367883,184018,12530,4524,184018,4524,0.0,151.5,384442,198657,12823,5019,198657,5019,0.0,172.7,415756,219135,6847,2583,219135,2583
647,110647,280.02,973.3,1400.5,285852,142694,7625,4122,222424,6073,1139.0,1479.3,279808,149100,19190,8277,224147,14543,1292.0,1482.2,290330,160627,19568,9514,237634,15483,1402.5,1454.0,334742,185857,18381,9729,277086,15031
648,110648,141.22,408.0,271.2,288344,144055,8935,4918,249568,7855,420.3,296.2,310487,165497,20948,9243,268881,17589,435.5,307.0,322136,178380,21437,10595,279582,18228,461.0,310.3,370879,206104,20179,10866,322938,17469
649,110649,109.43,482.5,109.7,273791,135789,10493,5285,258381,9911,646.7,187.8,288239,152968,25840,10819,268997,23703,738.7,204.3,298080,164491,26505,12409,279163,24509,772.7,225.3,349221,192609,24829,12667,325585,22994
650,110650,631.99,1491.0,293.8,244152,122329,3576,2216,232184,3442,1571.8,332.3,258787,138786,5327,3072,245860,5084,1648.8,311.8,266853,148809,5375,3417,254887,5176,1711.3,302.0,313721,174336,5135,3486,300183,4975
651,110651,183.68,459.7,41.2,268368,132965,6613,3589,261976,6471,481.5,46.2,279868,148512,9989,5266,273045,9743,502.2,46.7,290030,159986,10197,5960,283195,9975,522.7,41.8,347946,190805,9730,6102,340641,9562
652,110652,369.88,1066.8,23.2,292442,138034,7249,3071,290608,7200,1457.3,304.3,306178,155402,9075,4197,290115,8555,1710.0,332.8,313186,165420,9036,4649,297816,8580,1834.3,338.3,368884,196802,8873,4794,351492,8461
653,110653,583.88,1511.2,716.0,243207,118809,3346,1574,217385,2978,1756.8,755.8,247625,129872,5607,2638,224401,5022,1953.2,790.7,252434,137823,5753,3001,230142,5218,2084.5,745.5,311438,168110,5452,3055,285783,5023
654,110654,915.13,690.2,39.7,180266,91633,0,0,177534,0,759.2,41.5,190760,103716,0,0,188125,0,807.7,42.5,195976,111008,0,0,193390,0,855.8,43.3,229855,129535,0,0,226854,0
655,350655,486.05,0.0,0.0,195212,82532,0,0,0,0,0.0,0.0,204233,87320,0,0,0,0,0.0,0.0,233980,106062,0,0,0,0,0.0,0.0,237805,107711,0,0,0,0
656,350656,701.91,0.0,0.0,217931,92508,0,0,0,0,0.0,0.0,224444,96473,0,0,0,0,0.0,0.0,260655,119023,0,0,0,0,0.0,0.0,264934,121000,0,0,0,0
657,350657,531.28,0.0,0.0,225315,95766,0,0,0,0,0.0,0.0,235144,101219,0,0,0,0,0.0,0.0,269425,123167,0,0,0,0,0.0,0.0,273831,125128,0,0,0,0
658,350658,452.74,0.0,0.0,255390,108559,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,311820,143945,0,0,0,0,0.0,0.0,317731,146695,0,0,0,0
659,350659,1009.08,0.0,84.3,260389,110696,0,0,110696,0,0.0,1572.2,289124,125840,0,0,125840,0,0.0,2511.3,330829,153417,0,0,153417,0,0.0,3272.8,336521,155970,0,0,155970,0
660,350660,302.86,0.0,273.8,259636,110375,0,0,110375,0,0.0,816.8,297247,129666,0,0,129666,0,0.0,1160.8,340137,158164,0,0,158164,0,0.0,1432.0,340047,157757,0,0,157757,0
661,350661,903.16,0.0,0.0,218815,91946,0,0,0,0,0.0,0.3,253042,109158,0,0,109158,0,0.0,73.8,274725,127567,0,0,127567,0,0.0,77.2,282603,131671,0,0,131671,0
662,350662,933.04,0.0,718.0,298558,127283,2149,43,127283,43,0.0,2354.7,349184,154683,2987,163,154683,163,0.0,3970.5,393994,185766,3334,162,185766,162,0.0,4732.0,361990,169785,3371,153,169785,153
663,350663,523.77,0.0,254.0,332819,142214,3099,61,142214,61,0.0,689.5,388483,175756,4401,237,175756,237,0.0,1272.0,421320,197948,4956,237,197948,237,0.0,1834.2,429038,202616,4886,215,202616,215
664,350664,403.7,0.0,5.0,272211,115952,0,0,115952,0,0.0,5.0,299392,131271,0,0,131271,0,0.0,5.0,344953,161314,0,0,161314,0,0.0,5.0,351111,164335,0,0,164335,0
