FID,TAZID,CO_TAZID,DEVACRES,SA_2016,HH_19,JOB_19,JOBAUTO_19,HHAUTO_19,JOBTRANSIT_19,HHTRANSIT_19,COMPAUTO_19,COMPTRANSIT_19,HH_30,JOB_30,JOBAUTO_30,HHAUTO_30,JOBTRANSIT_30,HHTRANSIT_30,COMPAUTO_30,COMPTRANSIT_30,HH_40,JOB_40,JOBAUTO_40,HHAUTO_40,JOBTRANSIT_40,HHTRANSIT_40,COMPAUTO_40,COMPTRANSIT_40,HH_50,JOB_50,JOBAUTO_50,HHAUTO_50,JOBTRANSIT_50,HHTRANSIT_50,COMPAUTO_50,COMPTRANSIT_50,SHAPE_Length,SHAPE_Area
1,460,110460,322.29,7,487.3,656.3,101130.294343,84115.3735485,10600.0109276,5954.12871921,63363.2700318,5502.18787584,1480,2820.6,135480.169879,111257.752147,12683.9529253,7264.34714598,89316.3506108,6818.1589815,2044,4235.3,141072.970278,126724.097259,14209.065089,8388.18356235,101536.89274,7946.27760576,2402.5,5544.6,134591.885706,124669.289473,19883.6535094,12108.9215266,101310.237838,11474.0175965,6428.22227546732,2300707.32117194
2,461,110461,316.91,7,366,292.8,101938.859894,85352.2510698,9851.594169,5710.9917722,59997.4186385,5082.73218515,770.8,1741.1,132178.040491,109531.619043,11998.6542193,7094.81434941,89444.6308844,6603.55865343,968.3,2995.9,137976.461686,124934.197913,13288.3130942,8170.59155965,104959.656221,7717.67910712,1027.5,3844.5,131947.607272,121915.435514,19003.4918986,11927.4237285,104977.193734,11358.1790344,6397.40231174347,2263013.70708731
3,656,350656,701.91,4,0,0,229443.030172,56869.5368887,0,0,0,0,0,0,236007.498,44990.6711727,0,0,0,0,0,0,269169.840051,59041.3164383,0,0,0,0,0,0,286427.084,52999.6468726,0,0,0,0,10061.6532507541,5864134.72684985
4,657,350657,531.28,4,0,8,238213.276516,59139.4532737,0,0,59139.4532737,0,0,9.1,251780.996694,46978.4687145,0,0,46978.4687145,0,0,9.1,296910.265924,64853.7583141,0,0,64853.7583141,0,0,9.2,311148.886076,57255.0687507,0,0,57255.0687507,0,8556.9533731595,3760037.86122866
5,2696,492696,574.81,0,13,15,59185.3753024,38405.1604779,0,0,32434.8780203,0,13,15,65115.3805258,49970.9024428,0,0,39113.9388362,0,13,15.2,79911.3899996,66946.7452755,0,0,51483.2515984,0,405,421,94447.9397878,102817.993017,10604.4705953,6284.15762774,69420.1202053,5908.99313321,8798.13995836422,3982970.29166237
6,2697,492697,451.38,0,8,2,86010.5403443,55174.7221475,0,0,43637.2601284,0,8,2,92579.4471263,72078.3788937,3407.07672031,1627.4627563,49484.1934895,1706.43308466,18,183,104499.720731,91889.212913,5226.20360288,2935.64744434,86056.618564,2905.70340469,502,437,108987.490629,119337.358468,15090.6439549,8941.88709411,77942.5796086,8375.49204829,7172.61930745561,3125082.97862174
7,2695,492695,294.48,0,5,7,89397.6212278,57352.3061084,0,0,49369.8806958,0,5,7,96022.2405544,74798.6775903,0,0,59302.2596383,0,22,104,110510.867416,97647.379433,0,0,86283.7144091,0,390,369,110200.334848,122873.33217,13132.3116787,8686.89829483,80682.138062,7607.0857969,5935.29100952031,2039463.74080637
8,1354,351354,739.44,2,192.2,444.9,173523.913636,118032.900207,0,0,102654.636141,0,611.3,947.7,196305.295458,126052.11452,0,0,110802.405142,0,1034.2,1389,249937.124065,138799.441165,0,0,134410.061493,0,1372,1838.1,283086.558631,146058.454623,0,0,149597.330267,0,9716.19680754503,5657085.12101519
9,1355,351355,728.58,2,657.3,487,165340.152346,113831.913739,0,0,89875.9823832,0,840.5,850.1,189944.843714,123013.300206,0,0,104911.535959,0,931.8,1821.2,239789.12132,135040.938746,0,0,130571.105912,0,1008.2,2550.7,279188.935705,144838.502523,0,0,147047.299788,0,9714.31950835543,5273064.20465415
10,1362,351362,275.46,2,53.3,102.3,174525.700132,117929.782938,0,0,101320.743529,0,200.3,171.5,206129.694182,128155.392693,0,0,111168.663944,0,350.5,318.7,269950.80589,145479.427061,0,0,143008.204448,0,487.2,523.7,324639.104804,166115.284226,0,0,171415.771634,0,5711.91665889467,1936358.61916047
11,1363,351363,283.03,2,108,396.7,175244.092673,117313.561962,0,0,106151.371886,0,816.8,927.7,203545.148775,127350.236726,0,0,111569.122848,0,1735.3,890.6,265617.037414,144885.978719,0,0,140683.836449,0,2094.5,562.2,314473.87784,162599.126493,0,0,168205.803197,0,6416.13611900113,1989079.77208964
12,1361,351361,634.77,2,0.2,256.1,170163.059812,114175.662052,0,0,114126.986691,0,8.5,1364,195321.646748,121185.340224,0,0,120906.889839,0,16.7,2300.9,243819.355986,133268.473085,0,0,133198.02632,0,26.8,2994.4,274960.680127,141791.121858,0,0,141889.189604,0,9263.96961490298,4485341.13462933
13,1368,351368,243.62,2,0,48,177835.343488,118834.358734,0,0,118834.358734,0,0,479.2,203486.258227,125480.013872,0,0,125480.013872,0,0,800.5,257632.913191,138504.549579,0,0,138504.549579,0,0,1033,290936.094218,148072.010075,0,0,148072.010075,0,6296.4877372993,1711959.28883474
14,1369,351369,251.64,2,0,69.3,171850.761297,114959.406774,0,0,114959.406774,0,0,421.7,200166.2844,122385.901512,0,0,122385.901512,0,0,829,247385.337239,135208.689438,0,0,135208.689438,0,0,1093.3,279417.457434,143754.308903,0,0,143754.308903,0,6032.07168197018,1790514.81142622
15,1370,351370,216.62,2,0,0,166270.257443,112030.522428,0,0,0,0,0,0,195001.156793,119638.756666,0,0,0,0,0,0,236465.813792,131754.799622,0,0,0,0,0,0,263685.297543,140917.385183,0,0,0,0,5957.52209477403,1599795.12170735
16,1414,351414,553.63,2,731.2,253.5,110136.863705,84026.9928177,2840.31706689,2390.93213968,58422.2012579,1539.22062751,773.7,474.2,175764.415896,117364.701617,3990.47870104,2723.38321182,95343.7849291,2178.51243628,798.7,682.3,204425.351223,126983.552424,4751.93742657,3111.97893776,113467.771245,2687.22503391,819.7,942.3,234774.612654,138114.991085,5612.01982687,3452.39794251,130737.923116,3182.77476294,11331.8296599866,5947754.07490847
17,1419,351419,482.93,2,100,87.2,96048.9626333,74093.3764803,0,0,55225.5200636,0,154.3,137.2,154633.462154,104575.49545,0,0,86152.0816275,0,226.3,187.8,180652.675352,116446.448882,0,0,101450.260039,0,278.5,245,206931.715989,128147.138343,0,0,116651.195883,0,13797.6518454731,9231717.16010929
18,1789,491789,5524.45,0,1,22.5,5892.19924147,8386.27718348,0,0,7930.16181989,0,1,22.7,41871.1983114,40664.717175,0,0,39090.8973635,0,1,21.4,69304.0408512,64336.2628745,0,0,62055.3996518,0,1,20.1,91310.4527173,88388.2468391,0,0,85057.4013805,0,30480.9605089368,38411047.5449175
19,1791,491791,788.88,0,0,0,7720.95503486,10954.4096897,0,0,0,0,0,0,7.19153678152e-231,3.62287149504e-231,0,0,0,0,0,0,74795.1723101,69583.6037866,0,0,0,0,111,144,93457.9276709,92873.7928041,0,0,67747.8463841,0,9852.41677045542,5504339.79838692
20,1792,491792,509.03,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,0,0,52730.7235864,51115.9928941,0,0,0,0,0,0,84534.7640335,78592.7069661,0,0,0,0,277,327,102559.822803,101724.882659,4500.86186827,3139.02371578,73211.6419,2698.49653827,7410.39823844811,3544171.94863476
21,1798,491798,1060.96,0,0,16,21730.2389572,30610.0822088,0,0,30610.0822088,0,0,17,55848.6444912,52615.3410899,0,0,52615.3410899,0,0,17,81095.3394281,74890.3232418,0,0,74890.3232418,0,0,17,104579.477112,99491.9325613,7260.71921164,4962.63262391,99491.9325613,4962.63262391,12587.0296804105,7387835.26835077
22,1790,491790,558.83,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,0,0,7.19153678152e-231,3.62287149504e-231,0,0,0,0,0,0,76963.3939272,71651.5981645,0,0,0,0,86,432.9,97138.7157326,95661.6809977,0,0,83934.3449412,0,8047.72743331049,3889505.69549228
23,1807,491807,424.69,0,1,6,20060.9627331,25713.9783541,0,0,21692.4158479,0,1,6,58077.3813807,51736.1869176,0,0,46148.1226693,0,1,7.1,84557.0671243,71004.7043965,0,0,65385.5538205,0,2,8.1,93457.044734,85521.9054603,0,0,74411.8105635,0,7054.2108280252,2957725.99544459
24,1810,491810,648.57,0,0,25,24.88045,2.94422770863e-231,0,0,2.94422770863e-231,0,0,25.1,50329.999505,46053.302366,0,0,46053.302366,0,0,26.3,74405.1799197,62586.0882129,0,0,62586.0882129,0,130,971.1,114676.365832,107162.748571,0,0,98083.6223923,0,8510.67464528856,4517905.72682652
25,1814,491814,253.74,0,0,9,21237.9544797,27224.8897325,0,0,27224.8897325,0,0,9,61280.5283558,54640.3358707,0,0,54640.3358707,0,0,10.1,88931.4585719,74876.0502458,0,0,74876.0502458,0,25,195.1,97840.1828785,89851.5795988,0,0,82676.917687,0,5475.48862410746,1767670.65194176
26,1815,491815,578.96,0,1,10,23020.5039312,29547.1732147,0,0,26459.143895,0,1,18,66064.0773038,58949.3764152,0,0,56399.835983,0,1,85.1,95426.3958533,80655.284626,0,0,79987.6022368,0,164,705.1,102899.20834,94866.8953115,0,0,82916.7601632,0,8078.97340999128,4034674.68035571
27,1818,491818,1078.04,0,0,0,0.998274,10.981014,0,0,0,0,0,0,0.998274,10.981014,0,0,0,0,0,0,84915.5086142,71313.594403,0,0,0,0,16,144,94716.6848279,86803.5353446,0,0,80653.5545429,0,15124.812475988,7512234.70516651
28,1816,491816,369.04,0,11,1,21217.8423574,27199.4664726,0,0,11132.5431059,0,11,1,61226.5172705,54591.810606,0,0,31883.9610703,0,11,1,88857.6531785,74811.0908688,0,0,47966.4872912,0,35,192,97772.5348717,89777.3817127,0,0,80348.196163,0,6790.64292929304,2571120.67551946
29,1819,491819,443.79,0,4,19,19414.4257762,27437.7722434,0,0,22062.9008314,0,388,51,64003.5014791,62353.3869451,1613.39550523,1712.09234431,34112.9609689,868.62981736,595,218,93324.6029371,87916.5726489,0,0,55308.1073566,0,731,129,110522.604748,112055.456831,7856.72668233,6395.78752022,63961.9994309,4410.87212915,8267.89020552565,3096706.89184329
30,1820,491820,206.32,0,45,16,22164.7466122,31264.1701233,0,0,13909.4136963,0,186,23,67385.045803,65450.824318,3988.79952818,3955.23792894,35793.9266388,2123.53653206,456,43.1,100432.963836,94506.050419,7918.82614704,6153.7601326,54740.4838769,4254.72179617,593,53,116304.399414,119689.388227,10342.1945007,7403.7292375,65128.871075,5643.01037193,4802.37634568079,1437707.91909969
31,1802,491802,645.6,0,4,404,402.068072,3.980872,0,0,7.80433344769,0,8,831,61145.5171678,56116.1728429,0,0,55641.5158626,0,8,955.1,84001.6913,76108.3174314,0,0,75606.5422151,0,114,1484,128507.398806,121698.413905,2294.65506872,1468.38509068,115116.393235,1438.98175987,8486.14612601745,4497201.23415223
32,1826,491826,174.5,0,92,184,23210.2452991,32679.9205975,0,0,21938.8573226,0,279,305,66290.3855477,61251.0588571,4291.76303957,4231.11604384,43287.7095385,2896.85409384,454,568,90412.5164438,82284.4734445,8544.63866216,6654.37428075,61296.6750955,5347.94023692,663,637,134096.719369,128225.106308,11694.5533807,8760.59171071,91193.0191959,7128.19259638,4411.99062111698,1215960.02018947
33,1827,491827,168.53,0,46,4,21975.0134049,30958.1766105,0,0,11612.9888383,0,167,416,65455.516472,60192.7967911,3369.52989649,3342.5652779,48122.0223811,2612.99696083,324,591,90066.2742076,82034.9632791,7041.52068382,5397.6945409,64307.8706775,4530.53236776,500,377,141912.449083,135943.581471,9867.15133569,7394.66696587,93479.3093203,5906.27496861,4344.18014369999,1176364.63577331
34,1829,491829,155.43,0,102,72,23967.230828,33186.7111936,0,0,17277.7535821,0,212,244,71473.8742356,65980.1170513,6871.47010544,7242.42031412,47007.0596922,4849.22743317,380,259,98011.6391825,90178.5050539,12441.1081732,10846.7464452,61693.7842653,7672.88128387,459,218,133393.18178,127954.445407,16439.875877,13262.6595232,83133.4631481,9735.88981771,4087.95822187191,1083289.13410295
35,1830,491830,157.51,0,54,6,6,54,0,0,5.58595716696,0,106,125,70342.1378369,64746.6024815,4943.33465739,5106.11836938,46359.3997718,3465.14532629,285,25,96252.5244344,88250.9123956,9692.38176649,7844.71140707,52229.5635271,5213.47968666,370,31,144152.966281,138431.55834,14368.6546066,11397.1825942,80101.879079,7880.80455642,4204.57364640942,1097823.35814639
36,1832,491832,163.13,0,19,83,83,19,0,0,25.9150101191,0,79,54,74663.2250787,68818.077138,5222.16240163,5466.98670722,45606.0282151,3357.24731358,118,15.1,101998.725728,93953.104993,10077.075688,8527.05406091,56131.2441788,5497.97654099,135,72.1,137148.30127,131642.450698,15531.3679181,12649.2434614,86630.7566112,9306.78278614,4241.46076428627,1137212.99676148
37,1833,491833,273.32,0,18,13,13,18,0,0,9.42249084027,0,204,125.1,81595.1984183,75293.8365016,7125.87618087,7130.80937573,49174.2141251,4425.53182353,427,38,110604.109021,102931.254474,13543.7750921,10961.0060896,60111.6088126,7287.43346791,525,44,143399.615606,142217.907408,16023.4185463,11792.7772609,79878.4126747,8748.92520243,5954.17375257687,1905752.99430955
38,1835,491835,346.8,0,13,14,14.15232,13.14144,0,0,9.08931587351,0,230,74,87403.7360688,80469.6313089,4039.50560032,4080.28166614,49113.5336371,2320.24685897,454,203.1,118766.738137,110948.171881,8327.64182027,6418.63290101,71637.4233161,4764.08025464,637,1615,151728.181483,151759.24587,13058.6309803,10733.5277329,122041.049691,9161.05762875,6957.0182198666,2418856.18126577
39,1837,491837,661.24,0,0,0,19854.0331786,25410.9273721,0,0,0,0,0,0,58911.3940139,53951.736332,0,0,0,0,0,0,85904.1858591,72798.5388974,0,0,0,0,324,658.9,116339.068628,109921.067331,0,0,87276.6645803,0,8763.53869018274,4612295.4676465
40,1838,491838,503.53,0,0,0,24639.8238066,31628.4194128,0,0,0,0,0,0,70304.1000982,63058.0523233,0,0,0,0,0,0,101103.720635,86067.7422588,0,0,0,0,301,439.9,105474.433483,98462.8215269,0,0,75065.3558181,0,7556.16802287343,3510316.3266793
41,1843,491843,161.42,0,0,0,35903.9218712,45800.7262051,0,0,0,0,0,2,97217.9232728,89014.5668901,4007.71042572,3745.8172485,89014.5668901,3745.8172485,2,385.9,132369.301717,120875.989698,8622.87263558,6194.22873262,120374.573281,6177.97523273,131,139,148252.743351,145532.619595,18150.4094937,13783.2225148,103594.780941,11217.9066023,4248.87544759417,1126166.3876639
42,1844,491844,165.26,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,0,0,90225.6958443,82711.1947294,1604.31674646,1499.11663291,0,0,4,85,122817.517207,111822.852823,3921.53828737,2658.73989856,107934.737684,2609.54477721,128,105,137179.241331,133936.560594,9186.26278466,7281.88376513,92150.0459911,5654.60722534,4297.50925460407,1152979.97273952
43,1845,491845,160.84,0,0,0,37502.2631492,47803.4129858,0,0,0,0,0,0,101012.748962,92220.0800506,4144.62162032,3807.05067713,0,0,2,592.9,138481.419504,126608.122752,8734.42532329,6103.68535729,126264.567246,6094.02178679,165,121,149779.457569,148411.27587,13279.4095186,9355.73629491,99698.511559,7764.28640646,4237.84782559126,1122382.35680609
44,1846,491846,166.94,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,0,0,95425.5447144,87113.5139577,1664.67882324,1527.84311812,0,0,0,0,131581.281263,120094.467528,3978.63549814,2556.93581557,0,0,123,462.9,141523.106832,139986.639112,6476.4670441,4872.32515731,118838.093509,4411.95680281,4319.53969284349,1164934.81367698
45,1847,491847,157.04,0,0,0,39268.2277681,50020.7830982,0,0,0,0,0,0,105432.931039,95814.4061695,4272.77027076,3838.55096783,0,0,5,43,144100.383791,127070.012155,9241.35423302,6168.25982673,117762.417761,5930.32298505,167,197,149602.451275,148096.990787,13043.0614163,8398.18793579,106669.308233,7548.63618271,4188.28722081369,1096121.11263079
46,1848,491848,166.91,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,0,0,95265.9456378,86968.2964049,1737.37786848,1550.10735095,0,0,0,233,131337.416334,119883.436069,4111.97894885,2569.52585033,119883.436069,2569.52585033,128,249,141164.012579,139632.386262,5889.72729845,3642.20554167,108459.998934,3409.129673,4328.01268183179,1165032.75945073
47,1849,491849,188.91,0,0,0,41824.6582258,53209.5495659,0,0,0,0,0,0,112606.017004,101507.529403,4641.26615748,4101.83352465,0,0,43,171,154924.605244,136554.82345,10147.2338848,6622.73354629,118699.729116,6204.66492318,262,143,157180.145233,157668.26009,14341.9014496,8757.91418639,101077.303988,7946.19560829,4884.69259124358,1318841.14407751
48,1851,491851,203.77,0,0,0,37143.6241743,47355.3059876,0,0,0,0,0,0,100756.108282,90674.6491207,0,0,0,0,0,0,139912.536422,122328.102955,0,0,0,0,71,121,130648.997337,137782.073649,0,0,102517.648341,0,5654.78751361961,1423070.95652717
49,1852,491852,784.91,0,0,1,0.989488,2.94422770863e-231,0,0,2.94422770863e-231,0,0,1,90332.7764609,81222.437878,0,0,81222.437878,0,5,61,126292.997701,109865.564814,0,0,103993.065082,0,393,939.9,126920.263555,127214.478715,0,0,101397.70849,0,9895.80969229189,5476614.29068663
50,1854,491854,1148.9,0,82,14,29485.9947944,37780.5240711,0,0,16276.5077295,0,110,243,81723.9778649,73132.2258115,0,0,58004.8279947,0,302,796,115457.531568,99175.8195794,0,0,83024.9507047,0,1004,1043,104140.313858,105434.349601,0,0,73692.7090493,0,14117.6859707939,8015839.22613901
51,1856,491856,1576.89,0,5,2,31325.6993949,40110.4334319,0,0,19436.7198413,0,5,2,89943.3593953,80875.6307418,0,0,51275.335273,0,14,3,125781.060402,109400.657173,0,0,70466.5599132,0,346,313,114324.484124,119927.367545,0,0,80576.1717409,0,14722.7634662598,11010413.1076785
52,1855,491855,451.33,0,0,11,37343.383874,47599.3545342,0,0,47599.3545342,0,0,11,101242.812496,91125.4755145,0,0,91125.4755145,0,0,36.1,140460.836226,122948.060114,0,0,122948.060114,0,267,641,132077.780357,137846.165114,0,0,108653.021843,0,7655.24117725117,3150597.70055008
53,1860,491860,666.1,0,0,18,17.900172,2.94422770863e-231,0,0,2.94422770863e-231,0,0,18.1,17.9996174,3.62287149504e-231,0,0,3.62287149504e-231,0,1,23.2,140956.088682,122697.906841,0,0,119009.809533,0,468,599,143720.984981,141945.499779,0,0,103612.279768,0,8656.17946225285,4651794.43701423
54,1858,491858,237.79,0,0,0,39955.5118952,50864.6399569,0,0,0,0,0,0,107945.75539,97187.7944349,1641.23716912,1415.11305829,0,0,10,490.9,149071.135459,130973.371815,4014.40280529,2375.68683748,129008.019909,2365.736267,322,228,142836.911197,148597.011966,5766.86472843,3232.66280061,96567.9631649,3136.1440652,5445.36455660851,1660327.74394286
55,1861,491861,326.25,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,0,2,109274.056697,98305.244923,0,0,98305.244923,0,95,412.9,151350.722854,132445.689838,0,0,116326.052349,0,509,177,157485.427815,155429.116066,0,0,95787.5188255,0,6376.00379083817,2278576.04867802
56,1862,491862,644.42,0,0,3,32470.4166796,41555.8029557,0,0,41555.8029557,0,1,3,100011.272353,89998.9036355,0,0,74223.7069721,0,18,210,136692.015051,118956.52304,0,0,112344.419053,0,708,556.9,150700.031831,147716.55953,0,0,100819.694033,0,8490.78267470391,4502305.22033952
57,1863,491863,657.99,0,0,3,2.984508,2.94422770863e-231,0,0,2.94422770863e-231,0,0,3,81960.0721003,73680.2135952,0,0,73680.2135952,0,0,4,112639.273371,97067.8269361,0,0,97067.8269361,0,315,674,133010.656183,129275.314137,0,0,102396.668206,0,8579.570873778,4596980.89783332
58,1864,491864,737.26,0,0,9,8.922582,2.94422770863e-231,0,0,2.94422770863e-231,0,0,9,72226.382765,64931.9896977,0,0,64931.9896977,0,0,9.1,99730.4698537,85456.2634453,0,0,85456.2634453,0,13,80.1,121262.494942,117437.032019,0,0,105315.061952,0,9414.13522596724,5150923.4664166
59,1871,491871,221.56,0,59,5,22753.450022,34219.508225,0,0,12089.9496744,0,150,13,76793.1678069,74613.861753,3039.4591025,3060.49252484,40188.9867627,1595.16083335,243,66,109376.871917,103690.284911,6818.30421609,5327.73906562,63237.2965382,3800.19856115,310,26,130321.657573,131974.522272,11011.6808258,8414.82367183,72712.9534586,6025.93353582,5254.52574012847,1544678.96655199
60,1872,491872,324.25,0,0,0,20926.0679643,29599.323694,0,0,0,0,23,2,66506.7225598,64809.6994523,0,0,34817.8316019,0,53,4,96633.344813,91301.3824374,0,0,52315.4063102,0,56,5,112279.643167,113724.476083,5512.0879943,4912.03023698,62789.1473341,3051.75178444,6817.8537511879,2261952.64247381
61,1874,491874,197.46,0,81,184,23618.2924404,37892.3016105,0,0,25458.6451065,0,446,245.1,85574.3019581,82613.608727,5031.40864674,4731.41015053,51674.9352077,3010.96606803,725,146,122523.326989,116262.885705,9915.46184914,7336.01943921,69336.5823853,5412.88845305,848,70,142206.027494,145589.763985,14019.9704194,9883.86861028,79366.9076728,7634.8403117,5322.08017065028,1376988.95604984
62,1875,491875,197.67,0,177,218,27386.1340877,43456.5642555,0,0,24752.0844906,0,438,161,84381.9949235,79569.2095845,5894.67452789,5581.78981793,48299.4063899,3377.69641252,754,62,116520.420796,109104.838928,11197.2371693,8621.72987306,63200.9947172,5996.26547395,911,166,123598.224213,121590.569399,14448.0014418,9850.55339403,71348.4816324,7951.12488733,4866.77256684277,1378528.4686477
63,1886,491886,162.34,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,2,208.1,91324.8772227,84575.8039095,5256.62927246,5728.25157077,83853.7662677,5670.58981458,303,200,130787.016459,122750.214008,9003.32325476,8594.2192985,82627.4146657,5725.15305248,464,179,147536.958693,147048.317548,13128.8772781,10904.2583476,90929.4947258,7716.97970233,4269.51552883531,1132654.80248133
64,1887,491887,158.33,0,0,0,36065.0874313,46017.117102,0,0,0,0,3,0,97977.9427621,89978.5891011,4176.8086355,3893.6092914,49358.2257533,2104.14566531,244,20,133540.685226,124142.691822,9152.89371982,6271.65677988,72388.794052,4869.17479684,342,622,150549.646152,148276.921077,19744.2725492,15231.4712095,114211.341435,12895.2190902,4201.69116900445,1104648.6714912
65,1889,491889,163.64,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,0,185,99987.1715134,92830.6400576,4552.79708225,4979.29423008,92830.6400576,4979.29423008,143,328,151953.124966,139418.788642,7732.50575153,7527.63764044,112396.967194,5956.21369974,231,1010,154692.142948,153547.93039,7089.82230363,6224.96128276,132529.884774,5504.18669874,4273.62239582595,1141928.45640278
66,1890,491890,160.96,0,0,0,37640.7391322,47971.2131191,0,0,0,0,0,0,101695.332717,93089.2690558,4287.44148635,3968.46382071,0,0,262,383.9,145355.412139,133478.66999,9216.13211779,6418.18457198,101209.213026,5527.59912844,595,49,158510.489398,157980.402568,13701.0696437,9509.42705478,88276.9165444,7454.61548377,4239.43194022265,1123237.37974488
67,1891,491891,161.83,0,0,0,39442.925843,50238.8374067,0,0,0,0,0,0,106023.867938,96694.1016774,4451.64558448,3995.179855,0,0,168,109,145334.091623,133100.463838,9551.47401673,6329.36370396,90781.5265698,5351.51008012,359,456,158209.864695,157483.27753,13427.9195809,8680.6654799,114424.859179,7810.73642031,4251.37905936204,1129523.32870805
68,1892,491892,166.48,0,0,0,9,2.94422770863e-231,0,0,0,0,0,92,105027.063771,96985.7928684,4313.87265654,3988.88813294,96985.7928684,3988.88813294,100,788,151020.905563,138405.75177,4243.90860164,2696.63602259,126915.159927,2605.78871023,241,2099,154148.528116,152558.764999,5907.5412656,3811.40092308,140287.723231,3699.38103034,4308.90085271721,1162009.30990467
69,1894,491894,159.46,0,0,9,496.12721,2.94422770863e-231,0,0,2.94422770863e-231,0,1,9,115327.336628,104758.047982,4839.81756001,4319.81018595,96326.4569384,3979.78688086,146,641.1,157981.365215,138524.052311,10136.4517431,6918.34793692,121734.476715,6436.69667746,283,1012.1,154971.917398,148349.801165,14213.2836485,9153.29227852,126085.075766,8635.05807742,4223.36413916237,1113251.19768013
70,1895,491895,157.59,0,0,0,41034.8982268,52222.6330652,0,0,0,0,0,0,112249.970162,101140.995005,4579.17030269,4022.76182209,0,0,147,176,156833.840096,137773.757465,10091.8901269,6482.92302275,103780.611721,5758.06735938,410,107,150701.416871,146801.269532,14358.9656901,8621.19194597,89089.5408098,7828.44738641,4111.56162218155,1100195.89025867
71,1909,491909,704.58,0,290,30,29.78778,287.94854,0,0,27.8314860656,0,429,83,131181.276047,116290.238157,0,0,70543.7437883,0,613,108,170301.742536,151340.953205,0,0,94715.1787554,0,675,153,184373.291582,178699.413887,0,0,107736.660995,0,9158.68591248658,4922498.79894331
72,1912,491912,654.09,0,11,1,0.994836,10.943196,0,0,0.934977714811,0,72,59,115591.30416,103877.812773,0,0,71568.7905422,0,158,311,157703.014334,138800.441778,0,0,111296.983403,0,555,144,167964.458699,164096.87321,0,0,99307.5242071,0,8554.16864623935,4571456.6596752
73,1911,491911,218.29,0,0,3,45187.6881075,57388.3636956,0,0,57388.3636956,0,23,160,119898.551123,107673.87422,2449.06047196,2186.87497735,97179.2667973,1975.28224907,121,574,166951.492461,147133.124029,5703.20865681,3572.65122509,130118.737209,3407.63735459,176,834,177893.298889,174978.985866,8095.29171858,4891.4041775,152601.04087,4738.99225751,4959.54782436899,1524554.68561841
74,1960,491960,165.17,0,83,187,90691.498028,86401.0040692,6267.61603166,3253.16127755,66513.8341642,3169.36308649,438,452,158676.238376,137824.757915,23549.10848,16744.1543565,99736.9006872,13532.796562,681,908,191374.034746,164143.415801,31065.0132664,23984.3609172,126743.670719,19477.880595,715,1074,221941.823138,192204.95588,43220.5350354,29036.4143629,151856.567557,25823.095479,4295.48863890107,1153175.90999001
75,1961,491961,173.21,0,239,120,82057.5565544,82775.6817505,5702.9677994,3288.72577191,48683.5795505,2896.24216294,686,206,151691.349963,137240.979003,13733.8165264,10289.2615572,84409.5656922,7361.56255885,834,354.1,203206.388731,181520.229642,18413.7673088,14559.0844458,120396.065397,10565.1938265,870,485,216951.456324,196270.827931,29369.1406717,19223.0929769,134968.150031,16577.2397321,4397.2720982352,1209265.83459601
76,1959,491959,168.2,0,46,234,78109.6561154,75185.7386145,2479.49367231,1638.34329497,64650.5400217,1517.90269294,293,176.1,141550.920721,128136.55003,11649.1404727,9660.42353608,84516.1781068,6749.75621248,548,46,187214.453573,168875.595792,16745.4067702,14041.5532042,101337.874247,9019.24925613,601,51,204197.722019,182785.543932,21685.136748,16075.20684,112932.30955,11847.5343994,4334.77012201612,1174020.32920653
77,1950,491950,159.85,0,233,302,73617.3090837,80782.4818608,6480.69682868,3796.00983457,53497.759884,3420.31863703,499,342,149608.122875,138753.200363,18173.8402425,13293.2310931,91635.9818844,10217.3999585,635,902,205453.969399,186351.893398,23476.328962,18452.8963103,141451.17146,14949.0024654,635,1400,241157.311546,220153.044726,32486.0035182,22552.5452022,178713.546965,20221.6387216,4236.96643012446,1122929.27313443
78,1970,491970,166.08,0,155,487,91242.8346308,86322.7616898,5550.75259774,3308.50389928,69986.2105757,3078.9046757,227,438,167733.267011,147653.152911,17661.8018234,10718.1473443,115628.088176,9794.89368515,280,511,199197.745378,172562.282318,14619.2553158,10938.4412548,137895.012207,9275.33788397,309,393,233421.524273,203042.417687,28980.8237683,18086.7908382,156955.70417,16595.3118453,4301.67766540836,1159752.85681887
79,1974,491974,224.71,0,47,157,76092.6405372,82857.6190355,5894.29979068,3553.12080744,65619.4330109,3303.21555875,431,111,161705.207479,143299.6283,19518.9084976,12665.0224563,88563.5400219,10158.2474059,585,49,208012.008182,186347.110352,18628.4731946,13772.0492896,112534.288592,9955.06190032,676,57,244406.631404,219498.488636,28149.8779375,18182.9190999,135178.053487,15261.5972029,5062.47023476782,1569266.86592951
