FID,TAZID,CO_TAZID,DEVACRES,SA_2016,HH_19,JOB_19,JOBAUTO_19,HHAUTO_19,JOBTRANSIT_19,HHTRANSIT_19,COMPAUTO_19,COMPTRANSIT_19,HH_30,JOB_30,JOBAUTO_30,HHAUTO_30,JOBTRANSIT_30,HHTRANSIT_30,COMPAUTO_30,COMPTRANSIT_30,HH_40,JOB_40,JOBAUTO_40,HHAUTO_40,JOBTRANSIT_40,HHTRANSIT_40,COMPAUTO_40,COMPTRANSIT_40,HH_50,JOB_50,JOBAUTO_50,HHAUTO_50,JOBTRANSIT_50,HHTRANSIT_50,COMPAUTO_50,COMPTRANSIT_50,SHAPE_Length,SHAPE_Area
2575,741,350741,2327.78,4,0,2537.7,216778.236388,80386.0570005,0,0,80386.0570005,0,0,2704.7,210175.205115,89187.3544806,0,0,89187.3544806,0,0,2838.7,281982.072069,97578.7290843,0,0,97578.7290843,0,0,3078.5,287463.576178,91965.4585949,0,0,91965.4585949,0,18720.3348876388,17065665.8416428
2576,1032,351032,577.15,3,725.7,352.3,284807.851945,83151.1490669,0,0,128904.779126,0,793.2,345,300486.593042,94190.3207068,0,0,141097.742127,0,847,312,313922.009092,103689.353954,0,0,154999.386406,0,875,346.7,317259.533698,104837.174278,0,0,158981.536057,0,15675.3937836686,8560891.17465301
2577,1033,351033,452.32,3,166.5,38.8,247072.636961,66653.3744654,0,0,115676.590451,0,193.3,26.5,259194.213606,74578.1892777,0,0,126956.540555,0,212.3,72,270384.731687,81677.8535784,0,0,132924.511247,0,227,23.7,273078.696576,82177.8332145,0,0,143335.003108,0,17740.3883442899,11614595.945157
2578,1625,351625,425.43,2,781.8,302.5,184884.738118,111497.641259,0,0,94067.8817945,0,941,1129.9,256238.296023,155569.331925,29386.4355191,7412.1106312,139067.038172,12017.9240347,1041.5,1449.7,253143.993405,147262.882153,32167.2219229,9493.88840915,139023.266318,13771.7359607,1086.8,1789.2,271370.829198,159944.852781,55877.5759177,19756.3187472,152466.082969,25207.9083077,7803.80229518468,3058233.03148027
2579,1811,491811,652.93,0,0,34,14059.6409334,19827.9802907,0,0,19827.9802907,0,0,34.1,50131.0908405,46024.1142697,0,0,46024.1142697,0,7,94.4,72048.5204122,61229.5125948,0,0,58338.2413355,0,500,626.1,129672.212001,122872.372942,0,0,91085.2494524,0,8528.00297733748,4548244.57050019
2580,1812,491812,656.92,0,0,10,9.94836,2.94422770863e-231,0,0,2.94422770863e-231,0,5,14,54104.3199097,49698.8188432,0,0,40388.6074986,0,15,85.1,76048.7875176,68437.6236701,0,0,61282.340422,0,259,560,143933.942786,137907.396169,0,0,109901.769161,0,8541.33492952796,4577994.30652843
2581,1840,491840,602.52,0,0,2,1.994256,2.94422770863e-231,0,0,2.94422770863e-231,0,0,2,66169.7206106,59130.0523914,0,0,59130.0523914,0,0,2,94667.2900502,80405.2551804,0,0,80405.2551804,0,275,371,124043.534205,120052.742494,0,0,89106.0337176,0,8589.87263058432,4202484.71028576
2582,2670,492670,650.5,0,38,23,84293.0548394,51697.8407712,0,0,43742.0595076,0,38,23.1,96246.5353064,71991.0445653,0,0,53996.5894254,0,39,24.2,115647.115593,95280.1000022,0,0,69246.2800473,0,685,814,106955.698239,115819.32003,7510.20500508,5308.70443392,80219.7693689,4532.26211375,8495.95468549392,4510381.46852446
2583,2674,492674,741.33,0,66,123,81596.0313031,52036.6653723,0,0,45779.0330872,0,66,132.1,95423.4437437,72694.9703193,0,0,60434.0472966,0,100,283.2,112406.596161,96455.9653192,0,0,81423.3570517,0,919,754.1,106673.245231,118277.830052,11524.657305,7941.26914321,75983.9714548,6728.70806342,9138.27061784099,5137825.46406123
2584,2836,492836,303.47,0,86,60,51219.7426259,34260.8406914,0,0,27469.0832719,0,218,134,55163.1814304,44912.6268772,3837.08344213,3194.02036336,31838.0945941,2231.1586545,378,41,65287.6426415,58929.6414182,6643.56291226,4754.15371794,35628.8597278,3558.5500775,447,224,72094.0643842,77977.6721757,7981.14317685,6820.90346772,47071.0868454,4826.60152425,9288.30781180773,2094017.9741587
2585,1914,491914,6836.33,0,0,0,18875.9939783,19207.1629305,0,0,0,0,0,0,24901.3951565,26348.9008973,0,0,0,0,0,0,41199.3848831,43065.6691804,0,0,0,0,0,0,91430.9104869,78401.6404032,0,0,0,0,30640.311098329,47497001.2944749
2586,2859,492859,16775.42,0,24,319.2,16737.6712721,15247.7798263,0,0,14313.8317904,0,24,320,20764.7344111,20587.8840269,0,0,19275.5386737,0,24,339.8,31982.1067748,32102.3939202,0,0,30289.3428068,0,24,412.7,59396.8609011,53984.8258981,0,0,51830.7544897,0,50885.9890525725,116247866.451792
2587,2860,492860,8290.73,0,1,22,18854.8724283,14965.4348108,0,0,14481.5289411,0,1,22.1,21378.8000202,19345.7826455,0,0,18638.9824516,0,1,23.3,29757.9527435,27774.6459226,0,0,26857.8030413,0,1,29.3,44373.4108931,40771.3602583,0,0,39760.8848941,0,32625.637184875,57309178.2367754
2588,2869,492869,2528.49,0,13,16,23913.2494176,17100.9986176,0,0,13758.2547285,0,17,18,25120.9490324,21157.4041004,0,0,15612.7042332,0,20,17.2,31910.2765984,28221.4016176,0,0,20330.4805821,0,23,21.2,36711.2089768,35430.2677181,0,0,24931.5034836,0,19549.1631630487,17482636.7910214
2589,1917,491917,484.23,0,1,0,34751.2745477,36860.7862249,0,0,17058.9123499,0,1,0,46568.9106291,50501.9266533,0,0,23459.9618967,0,13,142,83782.1631204,88159.0467822,4336.72987508,4605.61955025,81608.7300576,4260.28018952,425,273,168564.837618,140645.777276,5856.85589854,5596.77575631,103440.15858,3776.27707764,10051.1133277634,3412678.30955312
2590,1915,491915,2964.23,0,3,0,24387.9950622,25630.8275073,0,0,11971.7240755,0,3,0,32608.7730571,35142.0008824,0,0,16427.2808421,0,3,0,55041.4510742,57991.0710588,0,0,28917.86228,0,3,0,113567.445117,97267.1346811,0,0,61037.0561981,0,20469.4896700536,20591662.0289496
2591,2872,492872,0,0,0,0,5.99778364147e-231,2.94422770863e-231,0,0,0,0,0,0,7.19153678152e-231,3.62287149504e-231,0,0,0,0,0,0,8.13549281676e-231,4.27425251813e-231,0,0,0,0,0,0,9.03824324689e-231,4.85762236199e-231,0,0,0,0,40850.3339427924,53277810.6093909
2592,2117,492117,492.8,0,582,241.1,121688.060212,92302.6466708,0,0,65238.5731055,0,1055,385.5,211735.351798,162685.093983,15507.7811214,4814.99842065,115374.515437,7346.36522169,1553,179.9,230984.453734,180894.840934,19439.9765359,6333.95212763,124771.109757,9990.87754488,1613,240.3,218149.438878,172470.275579,56232.2705836,18774.3977436,121338.855103,29373.4999061,14326.8449212653,3576617.93148202
2593,424,110424,1590.85,7,70,35.3,72887.1288291,64700.4797123,0,0,41518.0122844,0,70.5,42.8,95134.8382828,86511.7666793,0,0,56962.9834416,0,70.7,47.1,98565.2196468,99852.8342685,0,0,64246.8873436,0,70.8,49.7,106814.866943,110659.73046,0,0,71995.1942482,0,17499.4299491833,12230068.4564598
2594,736,350736,988.51,4,0,4,221937.265535,82319.9997204,0,0,82319.9997204,0,0,4,215127.050567,91440.1100707,0,0,91440.1100707,0,0,4,279542.274374,96913.2726,0,0,96913.2726,0,0,4,285064.999148,91339.1002674,0,0,91339.1002674,0,12761.146155547,8765824.72120946
2595,238,570238,349.82,9,190.7,36.5,119003.149134,84873.7967063,0,0,60689.2479907,0,228.7,64.5,141750.065222,100518.887831,0,0,75030.5657993,0,271.5,32.3,153407.47798,117770.415185,0,0,82784.5011539,0,293.3,34.3,157509.398618,126980.844095,0,0,87156.7863114,0,6551.286900591,2510953.60032797
2596,402,570402,212.78,8,0,0,117558.795109,87123.453133,0,0,0,0,0,0,147092.120301,104236.813321,0,0,0,0,0,0,153715.20823,120504.179093,0,0,0,0,0,0,158515.023949,125915.972654,0,0,0,0,6031.56053007661,1537154.23834422
2597,483,110483,612.99,6,522.5,773.4,118184.315981,76551.2352646,0,0,65815.5929834,0,536.8,1012.6,142267.876985,95741.1254873,0,0,83398.8574353,0,545.7,1169.4,149103.635376,106824.448224,0,0,93423.8276788,0,552.3,1358,167780.276424,125929.582051,0,0,110527.533436,0,8807.06350956972,4384129.66162904
2598,655,350655,486.05,4,0,0,205666.878801,50765.7356226,0,0,0,0,0,0,213216.902998,40280.1965733,0,0,0,0,0,0,244217.712933,52954.0662665,0,0,0,0,0,0,258555.154126,47470.462452,0,0,0,0,13255.2537667909,5363480.07516923
2599,1344,351344,946.21,4,0,32,163077.776287,100537.330271,0,0,100537.330271,0,0,34.8,176774.5248,105213.697406,0,0,105213.697406,0,0,36.5,244149.273399,119151.429436,0,0,119151.429436,0,0,37.4,267954.683475,116786.371084,0,0,116786.371084,0,15579.7958468306,10062905.8549079
2600,1365,351365,814.19,2,0,0,121967.660171,82534.1253429,0,0,0,0,0,0.2,133871.539844,83599.0519607,0,0,83599.0519607,0,0,0.5,169804.61067,92291.5388063,0,0,92291.5388063,0,0,0.5,187669.749238,95364.4727021,0,0,95364.4727021,0,13456.3605148397,10490567.8776559
2601,2119,492119,1518.04,0,845,131.1,129147.038919,97180.9484168,0,0,65787.3975247,0,941,89,170541.195553,117659.421648,0,0,87357.1252768,0,1016,88,190302.467588,123658.436717,0,0,101012.277159,0,1052,87,195488.693313,127577.550429,0,0,106023.800247,0,20190.4853285134,10691179.9832567
2602,1373,351373,823.74,2,334.3,1608.5,177908.078646,120781.753607,0,0,110832.328257,0,337.3,3244.4,200875.685739,124970.940852,0,0,120903.613301,0,337.8,4575.9,265778.199663,140489.073641,0,0,140383.906994,0,337.8,5604.2,294599.738924,148427.467423,0,0,149426.386473,0,10143.2433864851,5787431.93938877
